Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1113FBD48,LPC1113FBD48,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FBD48,LPC1113FBD48/301,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FBD48,LPC1113FBD48/302,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FBD48,LPC1113FBD48/303,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/201,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/202,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/203,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/301,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/302,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113FHN33,LPC1113FHN33/303,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1113JBD48,LPC1113JBD48,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1113JBD48,LPC1113JBD48/303,Cortex-M0,50,42,24,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1113JHN33,LPC1113JHN33,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1113JHN33,LPC1113JHN33/203,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1113JHN33,LPC1113JHN33/303,Cortex-M0,50,42,24,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114FBD48,LPC1114FBD48,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FBD48,LPC1114FBD48/301,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
