Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC11A04UK,LPC11A04UK,Cortex-M0,50,42,32,8,4,18,-0,-0,-0,-0,1,1,1,8,10,1,10,4,16; 32,1,11,WLCSP,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A11FHN33,LPC11A11FHN33,Cortex-M0,50,42,8,2,0.5,28,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A12FBD48,LPC11A12FBD48,Cortex-M0,50,42,16,4,1,42,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A12FHN33,LPC11A12FHN33,Cortex-M0,50,42,16,4,1,28,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A13FHI33,LPC11A13FHI33,Cortex-M0,50,42,24,6,2,28,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A13JHI33,LPC11A13JHI33,Cortex-M0,50,42,24,6,2,28,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,HVQFN32,-40 °C to +105 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A14FHN33,LPC11A14FHN33,Cortex-M0,50,42,32,8,4,28,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,1,1.8,3.6,Production,LPC11AXX,,,,
LPC11A14JBD48,LPC11A14JBD48,Cortex-M0,50,42,32,8,4,42,-0,-0,-0,-0,1,1,2,8,10,1,10,4,16; 32,1,11,LQFP48,-40 °C to +105 °C,1,1.8,3.6,Production,-0,,,,
LPC11C12FBD48,LPC11C12FBD48/301,Cortex-M0,50,-0,16,8,0,40,-0,-0,-0,1,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13003; OM13012; OM13004,,,,
LPC11C14FBD48,LPC11C14FBD48/301,Cortex-M0,50,-0,32,8,0,40,-0,-0,-0,1,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13003; OM13012; OM13004,,,,
LPC11C22FBD48,LPC11C22FBD48/301,Cortex-M0,50,-0,16,8,0,36,-0,-0,-0,1,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13012,,,,
LPC11C24FBD48,LPC11C24FBD48/301,Cortex-M0,50,-0,32,8,0,36,-0,-0,-0,1,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13012,,,,
LPC11D14FBD100,LPC11D14FBD100/302,Cortex-M0,50,-0,32,8,0,42,-0,-0,-0,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP100,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E1X,,,,
LPC11E11FHN33,LPC11E11FHN33,Cortex-M0,50,42,8,4,0.5,28,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E1X,,,,
LPC11E12FBD48,LPC11E12FBD48,Cortex-M0,50,42,16,6,1,40,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E1X,,,,
LPC11E13FBD48,LPC11E13FBD48,Cortex-M0,50,42,24,8,2,40,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E1X,,,,
LPC11E14FBD48,LPC11E14FBD48,Cortex-M0,50,42,32,10,4,40,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E1X,,,,
LPC11E14FHN33,LPC11E14FHN33,Cortex-M0,50,42,32,10,4,28,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,-0,,,,
LPC11E35FHI33,LPC11E35FHI33,Cortex-M0,50,42,32,10,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,HVQFN32,-0,-0,-0,-0,Production,-0,,,,
LPC11E36FBD64,LPC11E36FBD64/501,Cortex-M0,50,-0,96,12,4,54,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13062,,,,
LPC11E36FHN33,LPC11E36FHN33/501,Cortex-M0,50,-0,96,12,4,28,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13062,,,,
LPC11E37FBD48,LPC11E37FBD48/501,Cortex-M0,50,-0,128,12,4,40,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13062,,,,
LPC11E37FBD64,LPC11E37FBD64/501,Cortex-M0,50,-0,128,12,4,54,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13062,,,,
LPC11E37HFBD64,LPC11E37HFBD64/401,Cortex-M0,50,-0,128,10,4,54,-0,-0,-0,-0,1,1,-0,8,10,-0,-0,4,16; 32,1,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11E6X,,,,
