MCUMASK,SRAM,SRAM SIZE,SRAM2,SRAM2 SIZE,SRAM3,SRAM3 SIZE,CCM,CCM SIZE,Data EEPROM,Data EEPROM SIZE,Data EEPROM 2,Data EEPROM2 SIZE,FLASH,FLASH SIZE,FLASH2,FLASH2 SIZE,BACKUP SRAM,BACKUP SRAM SIZE
STM32L151xD,0x2000 0000,48,,,,,,,0x0808 0000,6,0x0808 17FF,6,0x0800 0000,192,0x0803 0000,192,,
STM32L152xD,0x2000 0000,48,,,,,,,0x0808 0000,6,0x0808 17FF,6,0x0800 0000,192,0x0803 0000,192,,
STM32L162xC,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
STM32L162xC-A,0x2000 0000,32,,,,,,,0x0808 0000,8,,,0x0800 0000,256,,,,
STM32L162xD,0x2000 0000,48,,,,,,,0x0808 0000,6,0x0808 17FF,6,0x0800 0000,192,0x0803 0000,192,,
STM32L162xE,0x2000 0000,80,,,,,,,0x0808 0000,16,,,0x0800 0000,512,,,,
STM32W108C8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32W108xB,0x2000 0000,8,,,,,,,,,,,0x0800 0000,128,,,,
STM32W108CC,0x2000 0000,16,,,,,,,,,,,0x0800 0000,256,,,,
STM32W108CZ,0x2000 0000,12,,,,,,,,,,,0x0800 0000,192,,,,
